SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),2441-2447 W Summerdale Ave,Chicago,IL,60625,199000,12,10.0,CHI - Lincoln Square,,4050,,1,,,Active,,,https://www.redfin.com/IL/Chicago/2441-W-Summerdale-Ave-60625/home/187756743,MRED,11902207,N,Y,41.978593,-87.6926316
MLS Listing,,Single Family Residential,5440 N Central Ave,Chicago,IL,60630,349900,3,2.0,CHI - Jefferson Park,1938,3123,1956,1,181,,Active,,,https://www.redfin.com/IL/Chicago/5440-N-Central-Ave-60630/home/13501770,MRED,11880965,N,Y,41.9805069,-87.7686941
MLS Listing,,Condo/Co-op,3041 W Lyndale St Unit 1E,Chicago,IL,60647,749000,3,2.5,CHI - Logan Square,,,2024,1,,225,Active,,,https://www.redfin.com/IL/Chicago/3041-W-Lyndale-St-60647/unit-1E/home/187842247,MRED,11902231,N,Y,41.9222222,-87.7038661
MLS Listing,,Condo/Co-op,6562 W Roscoe St Unit 3N,Chicago,IL,60634,196000,2,1.0,CHI - Dunning,1050,,1974,1,187,290,Active,,,https://www.redfin.com/IL/Chicago/6562-W-Roscoe-St-60634/unit-3N/home/13467024,MRED,11902003,N,Y,41.9429922,-87.7909905
MLS Listing,,Single Family Residential,6311 N Lawndale Ave,Chicago,IL,60659,225000,3,1.0,CHI - North Park,1336,3750,1953,1,168,,Active,,,https://www.redfin.com/IL/Chicago/6311-N-Lawndale-Ave-60659/home/13517563,MRED,11902173,N,Y,41.9959181,-87.7212499
MLS Listing,,Single Family Residential,4107 N Springfield Ave,Chicago,IL,60618,440000,2,2.0,CHI - Irving Park,1700,4688,,1,259,,Active,October-8-2023 01:00 PM,October-8-2023 03:00 PM,https://www.redfin.com/IL/Chicago/4107-N-Springfield-Ave-60618/home/13483657,MRED,11886734,N,Y,41.955818,-87.7249698
MLS Listing,,Vacant Land,1620 W Lawrence Ave,Chicago,IL,60640,,,,CHI - Uptown,,6969,,1,,,Active,,,https://www.redfin.com/IL/Chicago/1620-W-Lawrence-Ave-60640/home/184133114,MRED,11902199,N,Y,41.9690687,-87.670359
MLS Listing,,Condo/Co-op,2662 W Montrose Ave #1,Chicago,IL,60618,465000,3,3.0,CHI - Albany Park,1960,,2000,1,237,400,Active,October-7-2023 11:00 AM,October-7-2023 01:00 PM,https://www.redfin.com/IL/Chicago/2662-W-Montrose-Ave-60618/unit-1/home/12755638,MRED,11901648,N,Y,41.9614949,-87.6960525
MLS Listing,,Condo/Co-op,442 W Wellington Ave Unit 3E,Chicago,IL,60657,825000,3,3.5,CHI - Lake View,3800,,1924,1,217,3965,Active,,,https://www.redfin.com/IL/Chicago/442-W-Wellington-Ave-60657/unit-3E/home/177289339,MRED,11900900,N,Y,41.93692,-87.6411911
MLS Listing,,Single Family Residential,9233 S Manistee Ave,Chicago,IL,60617,125000,3,1.0,CHI - Calumet Heights,864,4159,1926,1,145,,Active,,,https://www.redfin.com/IL/Chicago/9233-S-Manistee-Ave-60617/home/12583431,MRED,11901631,N,Y,41.727155,-87.556405
MLS Listing,,Single Family Residential,3519 N Albany Ave,Chicago,IL,60618,680000,6,3.0,CHI - Avondale,1873,3125,1909,1,363,,Active,,,https://www.redfin.com/IL/Chicago/3519-N-Albany-Ave-60618/home/13453132,MRED,11898241,N,Y,41.945362,-87.7050569
MLS Listing,,Condo/Co-op,2609-11 W Haddon Ave Unit 3E,Chicago,IL,60622,748000,3,2.5,CHI - Humboldt Park,,,2023,1,,225,Active,,,https://www.redfin.com/IL/Chicago/2609-W-Haddon-Ave-60622/unit-3E/home/185768213,MRED,11902197,N,Y,41.901783,-87.692393
MLS Listing,,Multi-Family (2-4 Unit),7415 S Union Ave,Chicago,IL,60620,379000,7,3.0,CHI - Englewood,,5000,,1,,,Active,,,https://www.redfin.com/IL/Chicago/7415-S-Union-Ave-60621/home/13916973,MRED,11884356,N,Y,41.75932,-87.64156
MLS Listing,,Condo/Co-op,2609-11 W Haddon Ave #2,Chicago,IL,60622,548000,3,2.0,CHI - Humboldt Park,,,2023,1,,200,Active,,,https://www.redfin.com/IL/Chicago/2609-W-Haddon-Ave-60622/unit-2/home/185768212,MRED,11902194,N,Y,41.901783,-87.692393
MLS Listing,,Multi-Family (2-4 Unit),9323 S Harper Ave,Chicago,IL,60619,344000,7,2.0,CHI - Calumet Heights,,3125,1893,1,,,Active,,,https://www.redfin.com/IL/Chicago/9323-S-Harper-Ave-60617/home/21620107,MRED,11901401,N,Y,41.7252718,-87.5864093
MLS Listing,,Condo/Co-op,2609-11 W Haddon Ave Unit 1W,Chicago,IL,60622,747000,3,2.5,CHI - Humboldt Park,,,2023,1,,225,Active,,,https://www.redfin.com/IL/Chicago/2609-W-Haddon-Ave-60622/unit-1W/home/186091205,MRED,11902177,N,Y,41.901783,-87.692393
MLS Listing,,Single Family Residential,10206 S La Salle St,Chicago,IL,60628,189000,3,2.0,CHI - Roseland,1552,3049,1926,1,122,,Active,,,https://www.redfin.com/IL/Chicago/10206-S-La-Salle-St-60628/home/187841439,MRED,11901883,N,Y,41.7086601,-87.627439
MLS Listing,,Multi-Family (2-4 Unit),10914 S Vernon Ave,Chicago,IL,60628,89900,6,2.0,CHI - Roseland,,3125,1924,1,,,Active,,,https://www.redfin.com/IL/Chicago/10914-S-Vernon-Ave-60628/home/13078295,MRED,11901436,N,Y,41.6958617,-87.6125209
MLS Listing,,Single Family Residential,7935 S Kimbark Ave,Chicago,IL,60619,324900,5,3.0,CHI - Avalon Park,2139,5039,1926,1,152,,Active,,,https://www.redfin.com/IL/Chicago/7935-S-Kimbark-Ave-60619/home/13222864,MRED,11902105,N,Y,41.7502686,-87.59277
MLS Listing,,Multi-Family (2-4 Unit),4908 N Rockwell St,Chicago,IL,60625,895000,12,3.0,CHI - Lincoln Square,,3750,1916,1,,,Active,,,https://www.redfin.com/IL/Chicago/4908-N-Rockwell-St-60625/home/187245851,MRED,11902113,N,Y,41.971106,-87.6942137
MLS Listing,,Single Family Residential,4107 N Troy St,Chicago,IL,60618,769900,4,3.5,CHI - Irving Park,,3125,1995,1,,,Active,,,https://www.redfin.com/IL/Chicago/4107-N-Troy-St-60618/home/13487603,MRED,11892344,N,Y,41.9559956,-87.7066198
MLS Listing,,Single Family Residential,12619 S Edbrooke Ave,Chicago,IL,60628,259900,4,2.0,CHI - West Pullman,1400,,1970,1,186,,Active,,,https://www.redfin.com/IL/Chicago/12619-S-Edbrooke-Ave-60628/home/13053835,MRED,11902130,N,Y,41.6643977,-87.6184341
MLS Listing,,Single Family Residential,7568 W Clarence Ave,Chicago,IL,60631,450000,4,2.0,CHI - Norwood Park,1139,6500,1957,1,395,,Active,October-8-2023 12:00 PM,October-8-2023 02:00 PM,https://www.redfin.com/IL/Chicago/7568-W-Clarence-Ave-60631/home/13564811,MRED,11902091,N,Y,41.9946239,-87.8163051
MLS Listing,,Condo/Co-op,7033 N Kedzie Ave #1016,Chicago,IL,60645,190000,3,2.0,CHI - West Ridge,1900,,1967,1,100,1286,Active,,,https://www.redfin.com/IL/Chicago/7033-N-Kedzie-Ave-60645/unit-1016/home/13584134,MRED,11901046,N,Y,42.009044,-87.7084466
MLS Listing,,Condo/Co-op,2901 S Michigan Ave #1805,Chicago,IL,60616,120000,1,1.0,CHI - Douglas,800,,1969,1,150,558,Active,,,https://www.redfin.com/IL/Chicago/2901-S-Michigan-Ave-60616/unit-1805/home/12734140,MRED,11898978,N,Y,41.8416747,-87.6226211
MLS Listing,,Condo/Co-op,812 W Van Buren St Unit 5A,Chicago,IL,60607,675000,3,3.0,CHI - Near West Side,1700,,,1,397,788,Active,October-9-2023 03:00 PM,October-9-2023 05:00 PM,https://www.redfin.com/IL/Chicago/812-W-Van-Buren-St-60607/unit-5A/home/14090190,MRED,11901804,N,Y,41.8767782,-87.6479451
MLS Listing,,Single Family Residential,119 E 118th Pl,Chicago,IL,60628,189000,4,2.0,CHI - West Pullman,1360,5000,1910,1,139,,Active,,,https://www.redfin.com/IL/Chicago/119-E-118th-Pl-60628/home/13059153,MRED,11902131,N,Y,41.67878,-87.6196952
MLS Listing,,Condo/Co-op,2834 N Dawson Ave Unit 1W,Chicago,IL,60618,320000,2,2.0,CHI - Avondale,,,1931,1,,286,Active,October-8-2023 03:30 PM,October-8-2023 04:30 PM,https://www.redfin.com/IL/Chicago/2834-N-Dawson-Ave-60618/unit-1W/home/18939684,MRED,11902058,N,Y,41.9337953,-87.7128482
MLS Listing,,Single Family Residential,3346 W Eastwood Ave,Chicago,IL,60625,250000,4,3.0,CHI - Albany Park,1596,4094,1910,1,157,,Active,,,https://www.redfin.com/IL/Chicago/3346-W-Eastwood-Ave-60625/home/13486482,MRED,11900780,N,Y,41.9657562,-87.7127002
MLS Listing,,Condo/Co-op,435 W Oakdale Ave Unit 2B,Chicago,IL,60657,289900,2,2.0,CHI - Lake View,,,1960,1,,381,Active,,,https://www.redfin.com/IL/Chicago/435-W-Oakdale-Ave-60657/unit-2B/home/12773175,MRED,11900846,N,Y,41.9352054,-87.6408045
